T[°C]   R0[Ω]   R1[Ω]   R2[Ω]   R3[Ω]   R4[Ω]   R5[Ω]   R6[Ω]   R7[Ω]   R8[Ω]   R9[Ω]   
-190.00 22.83   22.40   21.97   21.54   21.11   20.68   20.25   19.82   19.38   18.95   
-180.00 27.10   26.67   26.24   25.82   25.39   24.97   24.54   24.11   23.68   23.25   
-170.00 31.34   30.91   30.49   30.07   29.64   29.22   28.80   28.37   27.95   27.52   
-160.00 35.54   35.12   34.70   34.28   33.86   33.44   33.02   32.60   32.18   31.76   
-150.00 39.72   39.31   38.89   38.47   38.05   37.64   37.22   36.80   36.38   35.96   
-140.00 43.88   43.46   43.05   42.63   42.22   41.80   41.39   40.97   40.56   40.14   
-130.00 48.00   47.59   47.18   46.77   46.36   45.94   45.53   45.12   44.70   44.29   
-120.00 52.11   51.70   51.29   50.88   50.47   50.06   49.65   49.24   48.83   48.42   
-110.00 56.19   55.79   55.38   54.97   54.56   54.15   53.75   53.34   52.93   52.52   
-100.00 60.26   59.85   59.44   59.04   58.63   58.23   57.82   57.41   57.01   56.60   
-90.00  64.30   63.90   63.49   63.09   62.68   62.28   61.88   61.47   61.07   60.66   
-80.00  68.33   67.92   67.52   67.12   66.72   66.31   65.91   65.51   65.11   64.70   
-70.00  72.33   71.93   71.53   71.13   70.73   70.33   69.93   69.53   69.13   68.73   
-60.00  76.33   75.93   75.53   75.13   74.73   74.33   73.93   73.53   73.13   72.73   
-50.00  80.31   79.91   79.51   79.11   78.72   78.32   77.92   77.52   77.12   76.73   
-40.00  84.27   83.87   83.48   83.08   82.69   82.29   81.89   81.50   81.10   80.70   
-30.00  88.22   87.83   87.43   87.04   86.64   86.25   85.85   85.46   85.06   84.67   
-20.00  92.16   91.77   91.37   90.98   90.59   90.19   89.80   89.40   89.01   88.62   
-10.00  96.09   95.69   95.30   94.91   94.52   94.12   93.73   93.34   92.95   92.55   
0.00    100.00  99.61   99.22   98.83   98.44   98.04   97.65   97.26   96.87   96.48   
0.00    100.00  100.39  100.78  101.17  101.56  101.95  102.34  102.73  103.12  103.51  
10.00   103.90  104.29  104.68  105.07  105.46  105.85  106.24  106.63  107.02  107.40  
20.00   107.79  108.18  108.57  108.96  109.35  109.73  110.12  110.51  110.90  111.29  
30.00   111.67  112.06  112.45  112.83  113.22  113.61  114.00  114.38  114.77  115.15  
40.00   115.54  115.93  116.31  116.70  117.08  117.47  117.86  118.24  118.63  119.01  
50.00   119.40  119.78  120.17  120.55  120.94  121.32  121.71  122.09  122.47  122.86  
60.00   123.24  123.63  124.01  124.39  124.78  125.16  125.54  125.93  126.31  126.69  
70.00   127.08  127.46  127.84  128.22  128.61  128.99  129.37  129.75  130.13  130.52  
80.00   130.90  131.28  131.66  132.04  132.42  132.80  133.18  133.57  133.95  134.33  
90.00   134.71  135.09  135.47  135.85  136.23  136.61  136.99  137.37  137.75  138.13  
100.00  138.51  138.88  139.26  139.64  140.02  140.40  140.78  141.16  141.54  141.91  
110.00  142.29  142.67  143.05  143.43  143.80  144.18  144.56  144.94  145.31  145.69  
120.00  146.07  146.44  146.82  147.20  147.57  147.95  148.33  148.70  149.08  149.46  
130.00  149.83  150.21  150.58  150.96  151.33  151.71  152.08  152.46  152.83  153.21  
140.00  153.58  153.96  154.33  154.71  155.08  155.46  155.83  156.20  156.58  156.95  
150.00  157.33  157.70  158.07  158.45  158.82  159.19  159.56  159.94  160.31  160.68  
160.00  161.05  161.43  161.80  162.17  162.54  162.91  163.29  163.66  164.03  164.40  
170.00  164.77  165.14  165.51  165.89  166.26  166.63  167.00  167.37  167.74  168.11  
180.00  168.48  168.85  169.22  169.59  169.96  170.33  170.70  171.07  171.43  171.80  
190.00  172.17  172.54  172.91  173.28  173.65  174.02  174.38  174.75  175.12  175.49  
200.00  175.86  176.22  176.59  176.96  177.33  177.69  178.06  178.43  178.79  179.16  
210.00  179.53  179.89  180.26  180.63  180.99  181.36  181.72  182.09  182.46  182.82  
220.00  183.19  183.55  183.92  184.28  184.65  185.01  185.38  185.74  186.11  186.47  
230.00  186.84  187.20  187.56  187.93  188.29  188.66  189.02  189.38  189.75  190.11  
240.00  190.47  190.84  191.20  191.56  191.92  192.29  192.65  193.01  193.37  193.74  
250.00  194.10  194.46  194.82  195.18  195.55  195.91  196.27  196.63  196.99  197.35  
260.00  197.71  198.07  198.43  198.79  199.15  199.51  199.87  200.23  200.59  200.95  
270.00  201.31  201.67  202.03  202.39  202.75  203.11  203.47  203.83  204.19  204.55  
280.00  204.90  205.26  205.62  205.98  206.34  206.70  207.05  207.41  207.77  208.13  
290.00  208.48  208.84  209.20  209.56  209.91  210.27  210.63  210.98  211.34  211.70  
300.00  212.05  212.41  212.76  213.12  213.48  213.83  214.19  214.54  214.90  215.25  
310.00  215.61  215.96  216.32  216.67  217.03  217.38  217.74  218.09  218.44  218.80  
320.00  219.15  219.51  219.86  220.21  220.57  220.92  221.27  221.63  221.98  222.33  





# Misurazione della tensione di Hall per temperature variabili. Le temperature sono lette tramite un elemento Pt100
# Le correnti fatte passare nell'elemento di misurazione sono nel range i = 8.00 mA
#
# Per queste misure di riferimento, il campo magnetico usato è spento.
# 
#   IDM 103N Datasheet (Amperometro): https://www.sglabs.it/public/Iso-Tech_IDM103N.pdf
#   errori sulle tensioni di Hall: 2% della misura
#   
# VH[]          R[Ω]        T[K]        sVH[mV]     sR[Ω]       sT[K]       
#
