# Misurazione della tensione di Hall per temperature variabili. Le temperature sono lette tramite un elemento Pt100
#
# Le misurazioni sono effettuate per valori di corrente costante nel toroide: I = 1.01 A
# Le misurazioni sono effettuate per valori di corrente costante nel campione: i = 8.00 mA
# 
#   IDM 103N Datasheet (Amperometro): https://www.sglabs.it/public/Iso-Tech_IDM103N.pdf (usato per la corrente 8.00 mA)
#   errori sulle tensioni di Hall: 2% della misura
#   METEX M3270D (Ohmmetro): https://www.elettronicazetabi.it/shop/strm3270.htm
#
#   
#   set-1 salita (T=0 -> T=140) --- set-2 discesa (T=140 -> T=0)
#   n1 = 21
#   n2 = 20
#
VH[mV]          R[Ω] 			T[K]			VH_correct[mV]			RH[Vcm/AT]			sVH[mV]			sR[Ω]			sT[K]			sVH_correct[mV]			sRH[Vcm/AT]
14.287          109.1			296.507			12.3988			0.857429			0.28574			0.9728			2.48103			0.290264			0.0336613
14.409          111.0			301.405			12.414			0.86475			0.28818			0.988			2.518			0.294485			0.0339488
14.534          113.1			306.844			12.3799			0.872252			0.29068			1.0048			2.56218			0.304842			0.0342433
14.662          115.0			311.755			12.33			0.879934			0.29324			1.02			2.69826			0.304765			0.0345448
14.750          117.1			317.202			12.258			0.885215			0.295			1.0368			2.70211			0.313219			0.0347522
14.781          119.0			322.124			12.081			0.887076			0.29562			1.052			2.73841			0.309425			0.0348252
14.690          121.0			327.307			11.873			0.881614			0.2938			1.068			2.80176			0.300889			0.0346108
14.484          123.0			332.518			11.508			0.869251			0.28968			1.084			2.86568			0.304838			0.0341255
14.089          125.0			337.726			10.959			0.845546			0.28178			1.1			2.90615			0.29068			0.0331948
13.463          127.0			342.944			10.233			0.807977			0.26926			1.116			2.86375			0.272594			0.0317199
12.539          129.0			348.176			9.251			0.752523			0.25078			1.132			2.99175			0.251611			0.0295429
11.257          131.0			353.414			7.974			0.675584			0.22514			1.148			3.02414			0.227938			0.0265224
9.708           133.0			358.679			6.552			0.582622			0.19416			1.164			3.07058			0.221754			0.0228728
8.004           135.1			364.176			5.10015			0.480357			0.16008			1.1808			3.10717			0.24145			0.0188581
6.141           137.1			369.44			3.57381			0.36855			0.12282			1.1968			3.14994			0.235054			0.0144687
4.452           139.0			374.469			2.224			0.267185			0.08904			1.212			3.19646			0.268732			0.0104893
2.978           141.0			379.73			1.211			0.178723			0.05956			1.228			3.23259			0.276017			0.00701641
1.828           143.0			385.019			0.444			0.109707			0.03656			1.244			3.2634			0.222904			0.00430691
0.970           145.0			390.311			-0.059			0.0582142			0.0194			1.26			3.3975			0.22365			0.0022854
0.382           147.0			395.62			-0.312			0.0229256			0.00764			1.276			3.34805			0.203853			0.000900022
0.004           149.0			400.941			-0.389			0.000240058			8e-05			1.292			3.37258			0.168786			9.42432e-06
-0.215          151.0			406.257			-0.373			-0.0129031			-0.0043			1.308			3.51589			0.145232			0.000506557
-0.026          149.0			400.941			-0.369			-0.00156038			-0.00052			1.292			3.37258			0.180139			6.12581e-05
0.301           147.0			395.62			-0.324			0.0180644			0.00602			1.276			3.34805			0.174758			0.00070918
0.904           144.8			389.779			-0.0425375			0.0542532			0.01808			1.2584			3.31149			0.206107			0.0021299
1.636           143.0			385.019			0.368			0.0981839			0.03272			1.244			3.2634			0.23393			0.00385455
2.719           141.0			379.73			1.047			0.16318			0.05438			1.228			3.23259			0.282284			0.00640618
4.156           139.0			374.469			2.021			0.249421			0.08312			1.212			3.19646			0.267359			0.00979187
5.803           137.0			369.176			3.303			0.348265			0.11606			1.196			3.14772			0.241703			0.0136723
7.589           135.0			363.913			4.735			0.455451			0.15178			1.18			3.105			0.239836			0.0178803
9.353           133.0			358.679			6.241			0.561317			0.18706			1.164			3.07058			0.228949			0.0220364
11.016          131.0			353.414			7.718			0.661121			0.22032			1.148			3.02414			0.230228			0.0259546
12.357          128.9			347.912			8.99658			0.7416			0.24714			1.1312			2.99466			0.248725			0.0291141
13.251          127.0			342.944			9.871			0.795254			0.26502			1.116			2.86375			0.266767			0.0312204
13.925          125.0			337.726			10.665			0.835703			0.2785			1.1			2.90615			0.286247			0.0328084
14.349          123.0			332.518			11.183			0.861149			0.28698			1.084			2.86568			0.293477			0.0338074
14.562          121.0			327.307			11.544			0.873933			0.29124			1.068			2.80176			0.303806			0.0343092
14.643          119.0			322.124			11.783			0.878794			0.29286			1.052			2.73841			0.305507			0.0345001
14.651          117.0			316.94			11.976			0.879274			0.29302			1.036			2.73174			0.313289			0.0345189
14.576          115.1			312.019			12.1086			0.874773			0.29152			1.0208			2.6846			0.310496			0.0343422
14.467          113.0			306.588			12.198			0.868231			0.28934			1.004			2.56957			0.305617			0.0340854
