#   CORREZIONI A MANO PERCHÉ EVIDENTEMENTE NON SO SCRIVERE 
#
# Misurazione del campo di Hall in regime di campo magnetico costante
#
# B1 =          sB1 =         n1 = 9             I1 = 0.3 A
# B2 =          sB2 =         n2 = 9             I2 = 0.6 A
# B3 =          sB3 =         n3 = 9             I3 = 0.9 A
# B4 =          sB4 =         n4 = 9             I4 = 1.2 A
# B5 =          sB5 =         n5 = 9             I5 = 1.5 A
#
# Per ogni valore di campo magnetico fissato B1, B2, ... sono stati presi n1, n2, ... valori di corrente e tensione, per
# entrambe le polarità del campo magnetico. I dati relativi alla polarità invertita sono inseriti ordinatamente dopo
# quelli con la prima polarità scelta
#
# Vanno aggunti dal main sVH1[mV] ed si1[mA]
#
#   IDM 103N Datasheet (Amperometro): https://www.sglabs.it/public/Iso-Tech_IDM103N.pdf
#
VH1[mV]         i1[mA]					VH1_correct[mV]			sVH1[mV]			si1[mA]			sVH1_correct[mV]
-6.613          -8.00  					-4.65965			-0.13226			-0.018			0.13287
-4.634          -6.00  					-3.16989			-0.09268			-0.006			0.0931456
-3.103          -4.00  					-2.12812			-0.06206			0.006			0.0624217
-1.577          -2.00  					-1.09135			-0.03154			0.018			0.0321269
-0.045          0.00  					-0.0485892			-0.0009			0.03			0.00802168
1.483           2.00  					0.990176			0.02966			0.042			0.0316741
3.012           4.00  					2.02994			0.06024			0.054			0.0620179
4.543           6.00  					3.07171			0.09086			0.066			0.0927392
6.077           8.00  					4.11647			0.12154			0.078			0.123606
-9.453          -8.0    				-7.49965			-0.18906			-0.018			0.189488
-7.100          -6.0    				-5.63589			-0.142			-0.006			0.142304
-4.747          -4.0    				-3.77212			-0.09494			0.006			0.0951769
-2.400          -2.0    				-1.91435			-0.048			0.018			0.0483877
-0.045          0.00  					-0.0485892			-0.0009			0.03			0.00802168
2.306           2.00  					1.81318			0.04612			0.042			0.0474404
4.653           4.00  					3.67094			0.09306			0.054			0.0942206
7.002           6.00  					5.53071			0.14004			0.066			0.141266
9.355           8.00  					7.39447			0.1871			0.078			0.188449
-13.010         -8.00  					-11.0567			-0.2602			-0.018			0.260511
-9.769          -6.00  					-8.30489			-0.19538			-0.006			0.195601
-6.530          -4.00  					-5.55512			-0.1306			0.006			0.130772
-3.286          -2.00  					-2.80035			-0.06572			0.018			0.0660037
-0.044          0.00  					-0.0475892			-0.00088			0.03			0.00801946
3.205           2.00  					2.71218			0.0641			0.042			0.0650565
6.450           4.00  					5.46794			0.129			0.054			0.12984
9.694           6.00  					8.22271			0.19388			0.066			0.194768
12.932          8.00  					10.9715			0.25864			0.078			0.259617
-16.178         -8.00  					-14.2247			-0.32356			-0.018			0.32381
-12.148         -6.00  					-10.6839			-0.24296			-0.006			0.243138
-8.124          -4.00  					-7.14912			-0.16248			0.006			0.162619
-4.079          -2.00  					-3.59335			-0.08158			0.018			0.0818087
-0.044          0.00  					-0.0475892			-0.00088			0.03			0.00801946
3.991           2.00  					3.49818			0.07982			0.042			0.0805901
8.017           4.00  					7.03494			0.16034			0.054			0.161016
12.040          6.00  					10.5687			0.2408			0.066			0.241515
16.056          8.00  					14.0955			0.32112			0.078			0.321908
-18.930         -8.00  					-16.9767			-0.3786			-0.018			0.378814
-14.215         -6.00  					-12.7509			-0.2843			-0.006			0.284452
-9.500          -4.00  					-8.52512			-0.19			0.006			0.190118
-4.777          -2.00  					-4.29135			-0.09554			0.018			0.0957354
-0.042          0.00  					-0.0455892			-0.00084			0.03			0.00801517
4.707           2.00  					4.21418			0.09414			0.042			0.0947938
9.427           4.00  					8.44494			0.18854			0.054			0.189116
14.170          6.00  					12.6987			0.2834			0.066			0.284008
18.888          8.00  					16.9275			0.37776			0.078			0.37843
1.654          -8.00  					3.60735			0.03308			-0.018			0.0354418
1.250          -6.00  					2.71411			0.025			-0.006			0.0266743
0.845          -4.00  					1.81988			0.0169			0.006			0.0181835
0.442          -2.00  					0.927645			0.00884			0.018			0.0107478
0.036          0.00						0.0324108			0.00072			0.03			0.00800348
-0.369           2.00					-0.861824			-0.00738			0.042			0.0133416
-0.773           4.00					-1.75506			-0.01546			0.054			0.0213629
-1.177           6.00					-2.64829			-0.02354			0.066			0.0299858
-1.582           8.00					-3.54253			-0.03164			0.078			0.0388277
5.343          -8.00  					7.29635			0.10686			-0.018			0.107615
4.014          -6.00  					5.47811			0.08028			-0.006			0.0808171
2.688          -4.00  					3.66288			0.05376			0.006			0.0541772
1.361          -2.00  					1.84665			0.02722			0.018			0.027898
0.034          0.00						0.0304108			0.00068			0.03			0.00799999
-1.291           2.00					-1.78382			-0.02582			0.042			0.0281106
-2.620           4.00					-3.60206			-0.0524			0.054			0.0544346
-3.947           6.00					-5.41829			-0.07894			0.066			0.0810959
-5.270           8.00					-7.23053			-0.1054			0.078			0.107776
8.907          -8.00  					10.8603			0.17814			-0.018			0.178594
6.692          -6.00  					8.15611			0.13384			-0.006			0.134163
4.469          -4.00  					5.44388			0.08938			0.006			0.0896315
2.251          -2.00  					2.73665			0.04502			0.018			0.0454331
0.035          0.00						0.0314108			0.0007			0.03			0.00800171
-2.188           2.00					-2.68082			-0.04376			0.042			0.0451494
-4.410           4.00					-5.39206			-0.0882			0.054			0.0894237
-6.630           6.00					-8.10129			-0.1326			0.066			0.133895
-8.847           8.00					-10.8075			-0.17694			0.078			0.178366
12.182         -8.00  					14.1353			0.24364			-0.018			0.243972
9.150          -6.00  					10.6141			0.183			-0.006			0.183236
6.113          -4.00  					7.08788			0.12226			0.006			0.122444
3.069          -2.00  					3.55465			0.06138			0.018			0.0616837
0.032          0.00						0.0284108			0.00064			0.03			0.00799668
-3.004           2.00					-3.49682			-0.06008			0.042			0.0610994
-6.031           4.00					-7.01306			-0.12062			0.054			0.121518
-9.061           6.00					-10.5323			-0.18122			0.066			0.182169
-12.095          8.00					-14.0555			-0.2419			0.078			0.242945
14.764         -8.00  					16.7173			0.29528			-0.018			0.295554
11.085         -6.00  					12.5491			0.2217			-0.006			0.221895
7.399          -4.00  					8.37388			0.14798			0.006			0.148132
3.716          -2.00  					4.20165			0.07432			0.018			0.074571
0.032          0.00  					0.0284108			0.00064			0.03			0.00799668
-3.666           2.00  					-4.15882			-0.07332			0.042			0.0741576
-7.356           4.00  					-8.33806			-0.14712			0.054			0.147857
-11.047          6.00  					-12.5183			-0.22094			0.066			0.221719
-14.743          8.00  					-16.7035			-0.29486			0.078			0.295718
