# Il file contiene i dati realtivi alla curva di isteresi. Sono contenuti quattro set di dati, 
# ciascuno relativo a un semiciclo di isteresi (salita o discesa). Sono stati presi dati per due cicli di isteresi completi.
# Si segnala il numero di dati preso per ogni semiciclo (ovviamente i dati sono in ordine).
#
# n1 = 25           prima discesa
# n2 = 24           prima salita
# n3 = 24           seconda discesa
# n4 = 24           seconda salita
#   
# M = 5.98 mT   magnetizzazione residua 
#
#   salita preliminare per "ignorare" la magnetizzazione residua
#   I[A]        sI[A]           B[mT]           sB[mT]
#   0.15                        33.4            0.334
#   0.30                        60.9            0.609   
#   0.45                        91.9            0.919
#   0.60                        122.3           1.223
#   0.75                        152.7
#   0.95                        182.7
#   1.15                        212.6
#   1.45                        289.0
#   1.75                        336
#   1.96                        367
#
I[A]            sI[A]           B[mT]           sB[mT]
1.96            0.013           367             3.67
1.65            0.013           329             3.29
1.44            0.013           296.3           2.963
1.30            0.013           270.6           2.706
1.15            0.013           242.8           2.428
1.00            0.013           212.7           2.12
0.85            0.013           183.1           1.831
0.65            0.013           141.3           1.413
0.50            0.013           108.6           1.086
0.36            0.013           80.8            0.808
0.20            0.013           48.9            0.489
0.10            0.013           26.98           0.2698
0               0.013           6.72            0.0672
-0.16           0.013           -27.38          0.2738
-0.30           0.013           -56.2           0.562
-0.45           0.013           -87.7           0.877
-0.60           0.013           -117.3          1.173
-0.75           0.013           -148.1          1.481
-0.90           0.013           -180.3          1.803
-1.04           0.013           -210.7          2.107
-1.20           0.013           -238.9          2.389
-1.34           0.013           -268.0          2.680
-1.51           0.013           -297.9          2.979
-1.70           0.013           -330            3.30
-1.96           0.013           -369            3.69   
-1.70           0.013           -334            3.34
-1.50           0.013           -308            3.08
-1.35           0.013           -280.8          2.808
-1.20           0.013           -253.8          2.538
-1.05           0.013           -221.8          2.218
-0.90           0.013           -192.1          1.921  
-0.75           0.013           -163.3          1.633
-0.60           0.013           -131.9          1.319
-0.45           0.013           -99.6           0.996
-0.30           0.013           -69.3           0.693
-0.14           0.013           -35.2           0.352
0               0.013           -6.24           0.0624
0.15            0.013           25.63           0.2563
0.30            0.013           57.4            0.574
0.45            0.013           87.4            0.874
0.60            0.013           118.2           1.182
0.75            0.013           150.8           1.508
0.90            0.013           179.9           1.799
1.05            0.013           214.4           2.144
1.21            0.013           241.8           2.418
1.35            0.013           275.0           2.750
1.51            0.013           297.9           2.979
1.70            0.013           329             3.29
1.96            0.013           368             3.68
1.70            0.013           338             3.38
1.50            0.013           307             3.07
1.35            0.013           281.7           2.817
1.20            0.013           252.6           2.526
1.05            0.013           223.5           2.235
0.89            0.013           190.8           1.908
0.75            0.013           162.1           1.621
0.61            0.013           132.9           1.329
0.44            0.013           99.2            0.992
0.31            0.013           69.6            0.696
0.15            0.013           38.6            0.386
0               0.013           6.46            0.0646  
-0.15           0.013           -24.73          0.2473
-0.30           0.013           -55.2           0.552
-0.45           0.013           -86.4           0.864
-0.60           0.013           -117.5          1.175
-0.75           0.013           -149.9          1.499
-0.91           0.013           -180.8          1.808
-1.05           0.013           -210.5          2.105
-1.20           0.013           -240.4          2.404
-1.35           0.013           -268.1          2.681
-1.50           0.013           -297.1          2.971
-1.70           0.013           -330            3.30
-1.96           0.013           -369            3.69
-1.70           0.013           -338            3.38
-1.49           0.013           -304            3.04
-1.35           0.013           -279.4          2.794
-1.20           0.013           -252.4          2.524
-1.05           0.013           -222.7          2.227
-0.90           0.013           -191.4          1.914
-0.75           0.013           -162.9          1.629
-0.59           0.013           -129.8          1.298
-0.44           0.013           -98.8           0.988
-0.29           0.013           -66.5           0.665
-0.15           0.013           -35.5           0.355
0               0.013           -6.03           0.0603
0.16            0.013           27.24           0.2724
0.30            0.013           56.3            0.563
0.44            0.013           86.1            0.861
0.60            0.013           118.8           1.188
0.76            0.013           150.9           1.509
0.90            0.013           180.7           1.807
1.05            0.013           212.2           2.122
1.20            0.013           239.6           2.396
1.34            0.013           268.0           2.680
1.51            0.013           289.9           2.899
1.70            0.013           331             3.31
1.96            0.013           368             3.68
