# Il file contiene i dati realtivi alla curva di isteresi. Sono contenuti quattro set di dati, 
# ciascuno relativo a un semiciclo di isteresi (salita o discesa). Sono stati presi dati per due cicli di isteresi completi.
# Si segnala il numero di dati preso per ogni semiciclo (ovviamente i dati sono in ordine).
#
# n1 = 21           prima discesa
# n2 = 21           prima salita
# n3 = 21           seconda discesa
# n4 = 21           seconda salita
#   
# M = 5.98 mT   magnetizzazione residua 
#
#   salita preliminare per "ignorare" la magnetizzazione residua
#   I[A]        sI[A]           B[mT]           sB[mT]
#   0.15                        33.4            0.334
#   0.30                        60.9            0.609   
#   0.45                        91.9            0.919
#   0.60                        122.3           1.223
#   0.75                        152.7
#   0.95                        182.7
#   1.15                        212.6
#   1.45                        289.0
#   1.75                        336
#   1.96                        367
#
B[mT]           sB[mT]          I[A]          	sI[mA]
296.3           2.963           1.44          	0.00588
270.6           2.706           1.30          	0.0056
242.8           2.428           1.15          	0.0053
212.7           2.12            1.00          	0.005
183.1           1.831           0.85          	0.0047
141.3           1.413           0.65          	0.0043
108.6           1.086           0.50          	0.004
80.8            0.808           0.36          	0.00372
48.9            0.489           0.20          	0.0034
26.98           0.2698          0.10          	0.0032
6.72            0.0672          0             	0.003
-27.38          0.2738          -0.16         	0.00268
-56.2           0.562           -0.30         	0.0024
-87.7           0.877           -0.45         	0.0021
-117.3          1.173           -0.60         	0.0018
-148.1          1.481           -0.75         	0.0015
-180.3          1.803           -0.90         	0.0012
-210.7          2.107           -1.04         	0.00092
-238.9          2.389           -1.20         	0.0006
-268.0          2.680           -1.34         	0.00032
-297.9          2.979           -1.51         	-2e-05
-308            3.08            -1.50         	0
-280.8          2.808           -1.35         	0.0003
-253.8          2.538           -1.20         	0.0006
-221.8          2.218           -1.05         	0.0009
-192.1          1.921           -0.90         	0.0012
-163.3          1.633           -0.75         	0.0015
-131.9          1.319           -0.60         	0.0018
-99.6           0.996           -0.45         	0.0021
-69.3           0.693           -0.30         	0.0024
-35.2           0.352           -0.14         	0.00272
-6.24           0.0624          0             	0.003
25.63           0.2563          0.15          	0.0033
57.4            0.574           0.30          	0.0036
87.4            0.874           0.45          	0.0039
118.2           1.182           0.60          	0.0042
150.8           1.508           0.75          	0.0045
179.9           1.799           0.90          	0.0048
214.4           2.144           1.05          	0.0051
241.8           2.418           1.21          	0.00542
275.0           2.750           1.35          	0.0057
297.9           2.979           1.51          	0.00602
307             3.07            1.50          	0.006
281.7           2.817           1.35          	0.0057
252.6           2.526           1.20          	0.0054
223.5           2.235           1.05          	0.0051
190.8           1.908           0.89          	0.00478
162.1           1.621           0.75          	0.0045
132.9           1.329           0.61          	0.00422
99.2            0.992           0.44          	0.00388
69.6            0.696           0.31          	0.00362
38.6            0.386           0.15          	0.0033
6.46            0.0646          0             	0.003
-24.73          0.2473          -0.15         	0.0027
-55.2           0.552           -0.30         	0.0024
-86.4           0.864           -0.45         	0.0021
-117.5          1.175           -0.60         	0.0018
-149.9          1.499           -0.75         	0.0015
-180.8          1.808           -0.91         	0.00118
-210.5          2.105           -1.05         	0.0009
-240.4          2.404           -1.20         	0.0006
-268.1          2.681           -1.35         	0.0003
-297.1          2.971           -1.50         	0
-304            3.04            -1.49         	2e-05
-279.4          2.794           -1.35         	0.0003
-252.4          2.524           -1.20         	0.0006
-222.7          2.227           -1.05        	0.0009
-191.4          1.914           -0.90         	0.0012
-162.9          1.629           -0.75         	0.0015
-129.8          1.298           -0.59         	0.00182
-98.8           0.988           -0.44        	0.00212
-66.5           0.665           -0.29        	0.00242
-35.5           0.355           -0.15         	0.0027
-6.03           0.0603          0             	0.003
27.24           0.2724          0.16          	0.00332
56.3            0.563           0.30          	0.0036
86.1            0.861           0.44          	0.00388
118.8           1.188           0.60          	0.0042
150.9           1.509           0.76          	0.00452
180.7           1.807           0.90          	0.0048
212.2           2.122           1.05          	0.0051
239.6           2.396           1.20          	0.0054
268.0           2.680           1.34          	0.00568
289.9           2.899           1.51          	0.00602
