B[mT]		    R[Ω]		sR[Ω]
-310.706		52.0942		4.58628
-277.755		51.8742		4.56692
-248.922		51.6599		4.54806
-215.97			51.4314		4.52794
-187.138		51.2428		4.51135
-156.245		51.0685		4.49601
-123.294		50.9028		4.48142
-92.4014		50.7856		4.47111
-63.5687		50.6971		4.46331
-32.6765		50.6456		4.45879
0.275176		50.6085		4.45552
31.1674			50.6314		4.45753
62.0596			50.6885		4.46256
92.9518			50.7828		4.47086
125.903			50.9028		4.48142
154.736			51.0514	    4.4945
187.688			51.2228		4.50958
216.521			51.4142		4.52643
247.413			51.6428		4.54655
278.305			51.8228		4.56239
307.138			52.0399		4.58151
