# Il file contiene i dati realtivi alla mappatura del magnete. Sono contenuti tre set di dati.
# Il primo set fissa un valore di y, variando quello di x. Il secondo set fissa x, variando y.
# Questi due set di valori sono utilizzati per osservare gli andamenti del campo magnetico rispetto solo a uno dei due parametri.
# Segue una serie di valori in cui si fanno variare sia x sia y, per poter graficare l'andamento rispetto a entrambe le variabili.
#
#   0 - 5 - 10 - 15 - 20 - 25 - 30 - 35 - 40
#   (dati con offset: (y) -2.25, 2.75., 7.75, 12.75, 17.75, 22.75, 27.75, 32.75, 37.75)
#   numero di punti presi 
#
#   I = 1.00 A  (nel magnete) - CH1
#
#   DC Power Supply manual: https://neurophysics.ucsd.edu/courses/physics_120/GW_Instek_GPS-4303_Manual.pdf
#       errore sulla corrente: 
#
#   Datasheet teslametro: http://www.extech.com/products/resources/SDL900_UM-it.pdf
#       errore sul campo magnetico: 1%
#
x[mm]       sx[mm]      y[mm]       sy[mm]      B[mT]       sB[mT]  
20.00       0.05        40.00       0.05        188.12      0.00
20.00       0.05        35.00       0.05        203.40      0.00
20.00       0.05        30.00       0.05        205.73      0.00
20.00       0.05        25.00       0.05        205.05      0.00
20.00       0.05        20.00       0.05        204.51      0.00
20.00       0.05        15.00       0.05        204.21      0.00
20.00       0.05        10.00       0.05        206.60      0.00     
20.00       0.05        5.00        0.05        203.47      0.00     
20.00       0.05        0.00        0.05        175.51      0.00     
0.00        0.05        20.00       0.05        165.11      0.00     
5.00        0.05        20.00       0.05        200.01      0.00
10.00       0.05        20.00       0.05        203.80      0.00
15.00       0.05        20.00       0.05        204.25      0.00   
20.00       0.05        20.00       0.05        204.51      0.00     
25.00       0.05        20.00       0.05        204.77      0.00
30.00       0.05        20.00       0.05        204.85      0.00
35.00       0.05        20.00       0.05        202.04      0.00   
40.00       0.05        20.00       0.05        171.42      0.00
0.00        0.05        40.00       0.05        150.24      0.00    
5.00        0.05        40.00       0.05        179.54      0.00
10.00       0.05        40.00       0.05        184.85      0.00
15.00       0.05        40.00       0.05        186.97      0.00
25.00       0.05        40.00       0.05        189.42      0.00    
30.00       0.05        40.00       0.05        186.06      0.00
35.00       0.05        40.00       0.05        183.20      0.00
40.00       0.05        40.00       0.05        147.98      0.00
0.00        0.05        35.00       0.05        172.94      0.00 
5.00        0.05        35.00       0.05        198.47      0.00
10.00       0.05        35.00       0.05        203.00      0.00
15.00       0.05        35.00       0.05        203.40      0.00      
25.00       0.05        35.00       0.05        203.17      0.00
30.00       0.05        35.00       0.05        203.13      0.00
35.00       0.05        35.00       0.05        200.31      0.00   
40.00       0.05        35.00       0.05        163.66      0.00
0.00        0.05        30.00       0.05        164.25      0.00     
5.00        0.05        30.00       0.05        201.73      0.00
10.00       0.05        30.00       0.05        205.05      0.00
15.00       0.05        30.00       0.05        205.47      0.00      
25.00       0.05        30.00       0.05        205.92      0.00
30.00       0.05        30.00       0.05        205.92      0.00
35.00       0.05        30.00       0.05        202.35      0.00   
40.00       0.05        30.00       0.05        167.62      0.00
0.00        0.05        25.00       0.05        168.52      0.00     
5.00        0.05        25.00       0.05        201.17      0.00
10.00       0.05        25.00       0.05        204.40      0.00
15.00       0.05        25.00       0.05        204.84      0.00      
25.00       0.05        25.00       0.05        205.24      0.00
30.00       0.05        25.00       0.05        204.62      0.00
35.00       0.05        25.00       0.05        201.84      0.00   
40.00       0.05        25.00       0.05        167.34      0.00
0.00        0.05        15.00       0.05        162.99      0.00     
5.00        0.05        15.00       0.05        202.13      0.00
10.00       0.05        15.00       0.05        203.54      0.00
15.00       0.05        15.00       0.05        203.97      0.00      
25.00       0.05        15.00       0.05        204.44      0.00
30.00       0.05        15.00       0.05        204.42      0.00
35.00       0.05        15.00       0.05        201.76      0.00   
40.00       0.05        15.00       0.05        163.42      0.00
0.00        0.05        10.00       0.05        163.56      0.00     
5.00        0.05        10.00       0.05        203.19      0.00
10.00       0.05        10.00       0.05        205.96      0.00
15.00       0.05        10.00       0.05        206.34      0.00   
25.00       0.05        10.00       0.05        206.86      0.00
30.00       0.05        10.00       0.05        206.88      0.00
35.00       0.05        10.00       0.05        203.29      0.00   
40.00       0.05        10.00       0.05        176.57      0.00
0.00        0.05        5.00        0.05        165.14      0.00     
5.00        0.05        5.00        0.05        200.54      0.00
10.00       0.05        5.00        0.05        202.73      0.00
15.00       0.05        5.00        0.05        204.50      0.00   
25.00       0.05        5.00        0.05        203.30      0.00
30.00       0.05        5.00        0.05        203.45      0.00
35.00       0.05        5.00        0.05        200.98      0.00   
40.00       0.05        5.00        0.05        169.40      0.00
0.00        0.05        0.00        0.05        138.55      0.00     
5.00        0.05        0.00        0.05        169.03      0.00
10.00       0.05        0.00        0.05        176.57      0.00
15.00       0.05        0.00        0.05        173.85      0.00   
25.00       0.05        0.00        0.05        177.45      0.00
30.00       0.05        0.00        0.05        177.89      0.00
35.00       0.05        0.00        0.05        172.67      0.00   
40.00       0.05        0.00        0.05        136.21      0.00
