# Il file contiene i dati realtivi alla mappatura del magnete. Sono contenuti tre set di dati.
# Il primo set fissa un valore di y, variando quello di x. Il secondo set fissa x, variando y.
# Questi due set di valori sono utilizzati per osservare gli andamenti del campo magnetico rispetto solo a uno dei due parametri.
# Segue una serie di valori in cui si fanno variare sia x sia y, per poter graficare l'andamento rispetto a entrambe le variabili.
#
#   0 - 5 - 10 - 15 - 20 - 25 - 30 - 35 - 40
#   (dati con offset: (y) -2.25, 2.75., 7.75, 12.75, 17.75, 22.75, 27.75, 32.75, 37.75)
#   numero di punti presi 
#
#   I = 1.00 A  (nel magnete) - CH1
#
#   DC Power Supply manual: https://neurophysics.ucsd.edu/courses/physics_120/GW_Instek_GPS-4303_Manual.pdf
#       errore sulla corrente: 
#
#   Datasheet teslametro: http://www.extech.com/products/resources/SDL900_UM-it.pdf
#       errore sul campo magnetico: 1%
#
x[mm]       sx[mm]      y[mm]       sy[mm]      B[mT]    
20.00       0.05        40.00       0.05        188.12      
20.00       0.05        35.00       0.05        203.40      
20.00       0.05        30.00       0.05        205.73      
20.00       0.05        25.00       0.05        205.05      
20.00       0.05        20.00       0.05        204.51      
20.00       0.05        15.00       0.05        204.21      
20.00       0.05        10.00       0.05        206.60           
20.00       0.05        5.00        0.05        203.47           
20.00       0.05        0.00        0.05        175.51           
0.00        0.05        20.00       0.05        165.11           
5.00        0.05        20.00       0.05        200.01      
10.00       0.05        20.00       0.05        203.80      
15.00       0.05        20.00       0.05        204.25         
20.00       0.05        20.00       0.05        204.51           
25.00       0.05        20.00       0.05        204.77      
30.00       0.05        20.00       0.05        204.85      
35.00       0.05        20.00       0.05        202.04         
40.00       0.05        20.00       0.05        171.42      
0.00        0.05        40.00       0.05        150.24          
5.00        0.05        40.00       0.05        179.54      
10.00       0.05        40.00       0.05        184.85      
15.00       0.05        40.00       0.05        186.97      
25.00       0.05        40.00       0.05        189.42          
30.00       0.05        40.00       0.05        186.06      
35.00       0.05        40.00       0.05        183.20      
40.00       0.05        40.00       0.05        147.98      
0.00        0.05        35.00       0.05        172.94       
5.00        0.05        35.00       0.05        198.47      
10.00       0.05        35.00       0.05        203.00      
15.00       0.05        35.00       0.05        203.40            
25.00       0.05        35.00       0.05        203.17      
30.00       0.05        35.00       0.05        203.13      
35.00       0.05        35.00       0.05        200.31         
40.00       0.05        35.00       0.05        163.66      
0.00        0.05        30.00       0.05        164.25           
5.00        0.05        30.00       0.05        201.73      
10.00       0.05        30.00       0.05        205.05      
15.00       0.05        30.00       0.05        205.47            
25.00       0.05        30.00       0.05        205.92      
30.00       0.05        30.00       0.05        205.92      
35.00       0.05        30.00       0.05        202.35         
40.00       0.05        30.00       0.05        167.62      
0.00        0.05        25.00       0.05        168.52           
5.00        0.05        25.00       0.05        201.17      
10.00       0.05        25.00       0.05        204.40      
15.00       0.05        25.00       0.05        204.84            
25.00       0.05        25.00       0.05        205.24      
30.00       0.05        25.00       0.05        204.62      
35.00       0.05        25.00       0.05        201.84         
40.00       0.05        25.00       0.05        167.34      
0.00        0.05        15.00       0.05        162.99           
5.00        0.05        15.00       0.05        202.13      
10.00       0.05        15.00       0.05        203.54      
15.00       0.05        15.00       0.05        203.97            
25.00       0.05        15.00       0.05        204.44      
30.00       0.05        15.00       0.05        204.42      
35.00       0.05        15.00       0.05        201.76         
40.00       0.05        15.00       0.05        163.42      
0.00        0.05        10.00       0.05        163.56           
5.00        0.05        10.00       0.05        203.19      
10.00       0.05        10.00       0.05        205.96      
15.00       0.05        10.00       0.05        206.34         
25.00       0.05        10.00       0.05        206.86      
30.00       0.05        10.00       0.05        206.88      
35.00       0.05        10.00       0.05        203.29         
40.00       0.05        10.00       0.05        176.57      
0.00        0.05        5.00        0.05        165.14           
5.00        0.05        5.00        0.05        200.54      
10.00       0.05        5.00        0.05        202.73      
15.00       0.05        5.00        0.05        204.50         
25.00       0.05        5.00        0.05        203.30      
30.00       0.05        5.00        0.05        203.45      
35.00       0.05        5.00        0.05        200.98         
40.00       0.05        5.00        0.05        169.40      
0.00        0.05        0.00        0.05        138.55           
5.00        0.05        0.00        0.05        169.03      
10.00       0.05        0.00        0.05        176.57      
15.00       0.05        0.00        0.05        173.85         
25.00       0.05        0.00        0.05        177.45      
30.00       0.05        0.00        0.05        177.89      
35.00       0.05        0.00        0.05        172.67         
40.00       0.05        0.00        0.05        136.21      
