# Misurazione della tensione di Hall per temperature variabili. Le temperature sono lette tramite un elemento Pt100
# Le correnti fatte passare nell'elemento di misurazione sono nel range i = 8.00 mA
#
# Le misurazioni sono effettuate per valori di corrente costante nel toroide: I = 1.01 A
# 
#   IDM 103N Datasheet (Amperometro): https://www.sglabs.it/public/Iso-Tech_IDM103N.pdf (usato per la corrente 8.00 mA)
#   errori sulle tensioni di Hall: 2% della misura
#   
#   set-1 salita (T=0 -> T=140) --- set-2 discesa (T=140 -> T=0)
#   n1 = 
#   n2 = 
#
VH[mV]	R[Ω]	I[A]	t[°C]
19.46	110.7	0.35	27.5
19.58	113.0	0.6	    33.43669250645994
19.69	115.0	0.69	38.60465116279068
19.75	117.0	0.69	43.782383419689104
19.63	119.0	0.69	48.96373056994817
19.46	121.0	0.78	54.166666666666664
19.05	123.0	0.81	59.375000000000014
18.45	125.0	0.99	64.58333333333334
17.47	127.0	0.99	69.79166666666667
16.13	129.0	1.05	75.0261780104712
14.31	131.0	1.04	80.26246719160103
12.05	133.0	1.04	85.51181102362203
9.82	135.0	1.18	90.76315789473682
7.32	137.0	1.17	96.02631578947368
5.36	139.0	1.15	101.29629629629632
4.12	141.0	1.25	106.58730158730161
3.0	    143.0	1.24	111.8783068783069
2.21	145.0	1.23	117.16931216931219
0.73	147.0	1.3	    122.47340425531915
0.16	149.0	1.3	    127.79255319148933
-0.43	151.0	1.5	    133.11999999999998
-0.18	149.0	1.03	127.79255319148933
0.1	    147.0	1.03	122.47340425531915
0.7	    145.0	1.03	117.16931216931219
1.69	143.0	1.01	111.8783068783069
3.02	141.0	1.0	    106.58730158730161
4.77	139.0	0.93	101.29629629629632
6.9	    137.0	0.8	    96.02631578947368
9.35	135.0	0.77	90.76315789473682
11.69	133.0	0.77	85.51181102362203
13.85	131.0	0.7	    80.26246719160103
15.63	129.0	0.57	75.0261780104712
17.0	127.0	0.52	69.79166666666667
17.96	125.0	0.45	64.58333333333334
18.57	123.0	0.3	    59.375000000000014
18.91	121.0	0.3	    54.166666666666664
19.07	119.0	0.19	48.96373056994817
19.07	117.0	0.02	43.782383419689104
18.99	115.0	0.0	    38.60465116279068
18.85	113.0	0.0	    33.43669250645994
18.69	111.3	0.0	    29.046391752577307
