# Misurazione della tensione di Hall per temperature variabili. Le temperature sono lette tramite un elemento Pt100
# Le correnti fatte passare nell'elemento di misurazione sono nel range i = 8.00 mA
#
# Per queste misure di riferimento, il campo magnetico usato è spento.
# 
#   IDM 103N Datasheet (Amperometro): https://www.sglabs.it/public/Iso-Tech_IDM103N.pdf
#   errori sulle tensioni di Hall: 2% della misura
#   
# VH[]          R[Ω]        T[K]        sVH[mV]     sR[Ω]       sT[K]       
#
VH[mV]	R[Ω]	t[°C]
1.883	109.0	23.118556701030915
1.995	111.0	28.273195876288653
2.145	113.0	33.43669250645994
2.332	115.0	38.60465116279068
2.482	117.0	43.782383419689104
2.7	    119.0	48.96373056994817
2.817	121.0	54.166666666666664
2.976	123.0	59.375000000000014
3.13	125.0	64.58333333333334
3.23	127.0	69.79166666666667
3.288	129.0	75.0261780104712
3.283	131.0	80.26246719160103
3.156	133.0	85.51181102362203
2.919	135.0	90.76315789473682
2.584	137.0	96.02631578947368
2.228	139.0	101.29629629629632
1.767	141.0	106.58730158730161
1.384	143.0	111.8783068783069
1.029	145.0	117.16931216931219
0.694	147.0	122.47340425531915
0.393	149.0	127.79255319148933
0.158	151.0	133.11999999999998
0.343	149.0	127.79255319148933
0.625	147.0	122.47340425531915
0.914	145.0	117.16931216931219
1.268	143.0	111.8783068783069
1.672	141.0	106.58730158730161
2.135	139.0	101.29629629629632
2.5	    137.0	96.02631578947368
2.854	135.0	90.76315789473682
3.112	133.0	85.51181102362203
3.298	131.0	80.26246719160103
3.358	129.0	75.0261780104712
3.38	127.0	69.79166666666667
3.26	125.0	64.58333333333334
3.166	123.0	59.375000000000014
3.018	121.0	54.166666666666664
2.86	119.0	48.96373056994817
2.675	117.0	43.782383419689104
2.457	115.0	38.60465116279068
2.269	113.0	33.43669250645994
2.064	111.0	28.273195876288653
1.913	109.0	23.118556701030915
